Date,Historical Adj Close,Volume,Daily New Cases,ROE,ROA,PM,EPS,Adj Close
2012-03--07 00:00:00,14.593093,24333804,0,11.0374,7.2438,58.5503,1.51,14.3274
2012-03--08 00:00:00,14.379734,23319727,0,11.0374,7.2438,58.5503,1.51,14.403888
2012-03--09 00:00:00,14.134166,16544326,0,11.0374,7.2438,58.5503,1.51,14.593093
2012-03--12 00:00:00,14.3274,19610554,0,11.0374,7.2438,58.5503,1.51,14.564913
2012-03--13 00:00:00,14.403888,11539757,0,11.0374,7.2438,58.5503,1.51,15.027868
2012-03--14 00:00:00,14.593093,34765632,0,11.0374,7.2438,58.5503,1.51,15.144612
2012-03--15 00:00:00,14.564913,29677428,0,11.0374,7.2438,58.5503,1.51,14.826584
2012-03--16 00:00:00,15.027868,30249331,0,11.0374,7.2438,58.5503,1.51,15.172791
2012-03--19 00:00:00,15.144612,43707233,0,11.0374,7.2438,58.5503,1.51,15.213048
2012-03--20 00:00:00,14.826584,26380015,0,11.0374,7.2438,58.5503,1.51,15.052022
2012-03--21 00:00:00,15.172791,14569632,0,11.0374,7.2438,58.5503,1.51,15.064098
2012-03--22 00:00:00,15.213048,21458131,0,11.0374,7.2438,58.5503,1.51,15.144612
2012-03--23 00:00:00,15.052022,16986737,0,11.0374,7.2438,58.5503,1.51,14.93125
2012-03--26 00:00:00,15.064098,21618511,0,11.0374,7.2438,58.5503,1.51,15.329793
2012-03--27 00:00:00,15.144612,17715218,0,11.0374,7.2438,58.5503,1.51,15.245255
2012-03--28 00:00:00,14.93125,20874110,0,11.0374,7.2438,58.5503,1.51,14.991636
2012-03--29 00:00:00,15.329793,22252190,0,11.0374,7.2438,58.5503,1.51,14.890993
2012-03--30 00:00:00,15.245255,29975616,0,11.0374,7.2438,58.5503,1.51,14.854763
2012-04--02 00:00:00,14.991636,22865674,0,11.0374,7.2438,58.5503,1.51,14.729967
2012-04--03 00:00:00,14.890993,27793973,0,3.0467,2.0208,17.394,0.44,14.74607
2012-04--04 00:00:00,14.854763,27946750,0,3.0467,2.0208,17.394,0.44,14.383759
2012-04--05 00:00:00,14.729967,28790705,0,3.0467,2.0208,17.394,0.44,14.339473
2012-04--09 00:00:00,14.74607,19584418,0,3.0467,2.0208,17.394,0.44,14.613223
2012-04--10 00:00:00,14.383759,25470958,0,3.0467,2.0208,17.394,0.44,14.279089
2012-04--11 00:00:00,14.339473,27880459,0,3.0467,2.0208,17.394,0.44,14.395833
2012-04--12 00:00:00,14.613223,18425405,0,3.0467,2.0208,17.394,0.44,14.677632
2012-04--13 00:00:00,14.279089,16483025,0,3.0467,2.0208,17.394,0.44,14.54076
2012-04--16 00:00:00,14.395833,17171352,0,3.0467,2.0208,17.394,0.44,14.291166
2012-04--17 00:00:00,14.677632,21971585,0,3.0467,2.0208,17.394,0.44,14.524656
2012-04--18 00:00:00,14.54076,20311236,0,3.0467,2.0208,17.394,0.44,14.440119
2012-04--19 00:00:00,14.291166,28578766,0,3.0467,2.0208,17.394,0.44,16.352316
2012-04--20 00:00:00,14.524656,144036209,0,3.0467,2.0208,17.394,0.44,16.219469
2012-04--23 00:00:00,14.440119,38995625,0,3.0467,2.0208,17.394,0.44,15.961821
2012-04--24 00:00:00,16.352316,37873678,0,3.0467,2.0208,17.394,0.44,15.820922
2012-04--25 00:00:00,16.219469,27413100,0,3.0467,2.0208,17.394,0.44,16.046362
2012-04--26 00:00:00,15.961821,25086283,0,3.0467,2.0208,17.394,0.44,16.525419
2012-04--27 00:00:00,15.820922,44480858,0,3.0467,2.0208,17.394,0.44,16.597881
2012-04--30 00:00:00,16.046362,25437931,0,3.0467,2.0208,17.394,0.44,16.513342
2012-05--01 00:00:00,16.525419,43385522,0,3.0467,2.0208,17.394,0.44,16.404646
2012-05--02 00:00:00,16.597881,28853431,0,3.0467,2.0208,17.394,0.44,16.569708
2012-05--03 00:00:00,16.513342,20670250,0,3.0467,2.0208,17.394,0.44,16.255701
2012-05--04 00:00:00,16.404646,23912302,0,3.0467,2.0208,17.394,0.44,15.877287
2012-05--07 00:00:00,16.569708,24895728,0,3.0467,2.0208,17.394,0.44,16.130899
2012-05--08 00:00:00,16.255701,27766649,0,3.0467,2.0208,17.394,0.44,16.179211
2012-05--09 00:00:00,15.877287,26298043,0,3.0467,2.0208,17.394,0.44,16.328159
2012-05--10 00:00:00,16.130899,38912227,0,3.0467,2.0208,17.394,0.44,16.589832
2012-05--11 00:00:00,16.179211,42113650,0,3.0467,2.0208,17.394,0.44,16.400625
2012-05--14 00:00:00,16.328159,28870301,0,3.0467,2.0208,17.394,0.44,16.203363
2012-05--15 00:00:00,16.589832,26782985,0,3.0467,2.0208,17.394,0.44,16.122856
2012-05--16 00:00:00,16.400625,23007521,0,3.0467,2.0208,17.394,0.44,16.046362
2012-05--17 00:00:00,16.203363,27227297,0,3.0467,2.0208,17.394,0.44,15.71223
2012-05--18 00:00:00,16.122856,25193441,0,3.0467,2.0208,17.394,0.44,15.442513
2012-05--21 00:00:00,16.046362,38377627,0,3.0467,2.0208,17.394,0.44,15.905467
2012-05--22 00:00:00,15.71223,24781918,0,3.0467,2.0208,17.394,0.44,15.788721
2012-05--23 00:00:00,15.442513,21580970,0,3.0467,2.0208,17.394,0.44,15.9739
2012-05--24 00:00:00,15.905467,23734814,0,3.0467,2.0208,17.394,0.44,15.965854
2012-05--25 00:00:00,15.788721,40633639,0,3.0467,2.0208,17.394,0.44,16.243626
2012-05--29 00:00:00,15.9739,29953757,0,3.0467,2.0208,17.394,0.44,16.702549
2012-05--30 00:00:00,15.965854,39204950,0,3.0467,2.0208,17.394,0.44,15.937671
2012-05--31 00:00:00,16.243626,55982837,0,3.0467,2.0208,17.394,0.44,15.77664
2012-06--01 00:00:00,16.702549,44232091,0,3.0467,2.0208,17.394,0.44,15.627692
2012-06--04 00:00:00,15.937671,44995500,0,3.0467,2.0208,17.394,0.44,15.764566
2012-06--05 00:00:00,15.77664,46886321,0,3.0467,2.0208,17.394,0.44,16.006107
2012-06--06 00:00:00,15.627692,23370098,0,3.0467,2.0208,17.394,0.44,16.481133
2012-06--07 00:00:00,15.764566,24105946,0,3.0467,2.0208,17.394,0.44,16.465033
2012-06--08 00:00:00,16.006107,22633301,0,3.0467,2.0208,17.394,0.44,16.525419
2012-06--11 00:00:00,16.481133,20662646,0,3.0467,2.0208,17.394,0.44,16.477112
2012-06--12 00:00:00,16.465033,25235734,0,3.0467,2.0208,17.394,0.44,16.469059
2012-06--13 00:00:00,16.525419,33872731,0,3.0467,2.0208,17.394,0.44,16.171162
2012-06--14 00:00:00,16.477112,32646002,0,3.0467,2.0208,17.394,0.44,16.155058
2012-06--15 00:00:00,16.469059,23960059,0,3.0467,2.0208,17.394,0.44,16.372442
2012-06--18 00:00:00,16.171162,34706232,0,3.0467,2.0208,17.394,0.44,17.10512
2012-06--19 00:00:00,16.155058,63425419,0,3.0467,2.0208,17.394,0.44,17.511717
2012-06--20 00:00:00,16.372442,44589917,0,3.0467,2.0208,17.394,0.44,17.290298
2012-06--21 00:00:00,17.10512,27600566,0,3.0467,2.0208,17.394,0.44,16.839424
